rank,id_jogador,jogador,nacionalidade,posicao,id_time,time,gols,assistencias,penaltis,jogos
1,91310,Kaio Jorge,Brazil,Centre-Forward,1771,Cruzeiro EC,15,4,0,22
2,1244,Giorgian De Arrascaeta,Uruguay,Midfield,1783,CR Flamengo,12,10,1,19
2,59859,Pablo Vegetti,Argentina,Offence,1780,CR Vasco da Gama,12,1,3,19
3,1077,Pedro,Brazil,Offence,1783,CR Flamengo,10,4,1,16
4,1340,Reinaldo,Brazil,Defence,4364,Mirassol FC,7,3,4,19
4,12837,Renato Kayzer,Brazil,Offence,1782,EC Vitória,7,0,0,15
4,40134,Pedro Raul,Brazil,Offence,1837,Ceará SC,7,0,1,20
5,114353,Isidro Pitta,Paraguay,Midfield,4286,RB Bragantino,6,1,0,18
5,170698,José Manuel López,Argentina,Midfield,1769,SE Palmeiras,6,0,2,19
5,3467,Martin Braithwaite,Denmark,Centre-Forward,1767,Grêmio FBPA,6,0,4,17
6,45490,Matheus Pereira,Brazil,Offence,1771,Cruzeiro EC,5,5,0,20
6,16481,Alan Patrick,Brazil,Midfield,6684,SC Internacional,5,5,3,15
6,140873,Luciano Juba,Brazil,Defence,1777,EC Bahia,5,3,0,20
6,181439,Vítor Roque,Brazil,Centre-Forward,1769,SE Palmeiras,5,3,1,19
6,45459,André Silva,Brazil,Offence,1776,São Paulo FC,5,2,1,20
6,203356,Rayan,Brazil,Offence,1780,CR Vasco da Gama,5,1,1,21
6,1325,Yuri Alberto,Brazil,Offence,1779,SC Corinthians Paulista,5,1,1,13
6,40067,Chico,Brazil,Offence,4364,Mirassol FC,5,0,0,10
6,83705,Álvaro Barreal,Argentina,Midfield,6685,Santos FC,5,0,0,19
6,21951,Germán Cano,Argentina,Offence,1765,Fluminense FC,5,0,1,14
7,8472,Memphis Depay,Netherlands,Centre-Forward,1779,SC Corinthians Paulista,4,4,0,14
7,171304,Nuno Moreira,Portugal,Left Winger,1780,CR Vasco da Gama,4,4,0,21
7,179032,Jhonatan,Brazil,Midfield,4286,RB Bragantino,4,3,0,20
7,21689,Hulk,Brazil,Offence,1766,CA Mineiro,4,3,1,17
7,42901,Luciano,Brazil,Offence,1776,São Paulo FC,4,3,1,20
7,179043,Antonio Galeano,Paraguay,Offence,1837,Ceará SC,4,2,0,21
7,103448,Edson Carioca,Brazil,Midfield,4364,Mirassol FC,4,2,0,19
7,143037,Enmerson Batalla,Colombia,Midfield,4245,EC Juventude,4,2,0,21
7,143549,Facundo Torres Pérez,Uruguay,Midfield,1769,SE Palmeiras,4,2,0,20
7,103499,Ferreira,Brazil,Midfield,1776,São Paulo FC,4,2,0,17
7,83053,Ignacio Laquintana,Uruguay,Midfield,4286,RB Bragantino,4,2,0,21
7,8413,Luiz Araújo,Brazil,Offence,1783,CR Flamengo,4,2,0,20
7,1327,Gabriel Barbosa,Brazil,Offence,1771,Cruzeiro EC,4,2,1,22
7,1427,Gabriel,Brazil,Offence,4364,Mirassol FC,4,1,0,15
7,11194,Gabriel Taliari,Brazil,Midfield,4245,EC Juventude,4,1,0,19
7,1326,Eduardo Sasha,Brazil,Offence,4286,RB Bragantino,4,1,1,20
7,11680,Rafael Borré,Colombia,Centre-Forward,6684,SC Internacional,4,1,1,16
7,28422,Michel Araujo,Uruguay,Offence,1777,EC Bahia,4,0,0,13
8,118245,Christian,Brazil,Midfield,1771,Cruzeiro EC,3,2,0,16
8,77159,Jefferson Savarino,Venezuela,Midfield,1770,Botafogo FR,3,2,0,15
8,181336,Kevin Serna,Colombia,Offence,1765,Fluminense FC,3,2,0,19
8,28740,Joaquín Piquerez,Uruguay,Defence,1769,SE Palmeiras,3,2,2,19
8,204018,Cristian Renato,Brazil,Defence,4364,Mirassol FC,3,1,0,19
8,56066,Gonzalo Plata,Ecuador,Offence,1783,CR Flamengo,3,1,0,15
8,82534,Igor Gomes,Brazil,Midfield,1766,CA Mineiro,3,1,0,19
8,256339,Igor Jesus,Brazil,,1770,Botafogo FR,3,1,0,10
8,39599,Juan Lucero,Argentina,Offence,3984,Fortaleza EC,3,1,0,20
8,1196,Deyverson,Brazil,Offence,3984,Fortaleza EC,3,0,0,20
8,11192,Léo Pereira,Brazil,Defence,1783,CR Flamengo,3,0,0,21
8,1226,Rony,Brazil,Offence,1766,CA Mineiro,3,0,0,19
