id_time,time,jogos,vitorias,empates,derrotas,gols_marcados,gols_sofridos,saldo_gols,pontos,ppg_geral,ppg_casa,ppg_fora,gols_por_jogo,gols_sofridos_por_jogo
1783,CR Flamengo,21,14,5,2,45,10,35,47,2.238,2.5,1.889,2.143,0.476
1769,SE Palmeiras,20,13,4,3,28,16,12,43,2.15,2.0,2.3,1.4,0.8
1771,Cruzeiro EC,22,13,5,4,35,15,20,44,2.0,2.333,1.6,1.591,0.682
1777,EC Bahia,20,10,6,4,28,22,6,36,1.8,2.4,1.2,1.4,1.1
1770,Botafogo FR,20,10,5,5,30,13,17,35,1.75,1.8,1.7,1.5,0.65
4364,Mirassol FC,20,9,8,3,35,20,15,35,1.75,2.2,1.3,1.75,1.0
1776,São Paulo FC,22,8,8,6,26,23,3,32,1.455,1.909,1.0,1.182,1.045
1765,Fluminense FC,20,8,4,8,25,28,-3,28,1.4,2.111,0.818,1.25,1.4
4286,RB Bragantino,22,9,3,10,27,32,-5,30,1.364,1.545,1.182,1.227,1.455
6684,SC Internacional,21,7,6,8,25,29,-4,27,1.286,1.545,1.0,1.19,1.381
1837,Ceará SC,21,7,5,9,19,20,-1,26,1.238,1.545,0.9,0.905,0.952
1766,CA Mineiro,20,6,6,8,20,24,-4,24,1.2,1.875,0.75,1.0,1.2
1767,Grêmio FBPA,21,6,7,8,20,26,-6,25,1.19,1.6,0.818,0.952,1.238
1779,SC Corinthians Paulista,22,6,8,8,23,28,-5,26,1.182,1.455,0.909,1.045,1.273
1780,CR Vasco da Gama,21,6,4,11,30,31,-1,22,1.048,1.2,0.909,1.429,1.476
6685,Santos FC,21,6,4,11,20,31,-11,22,1.048,1.2,0.909,0.952,1.476
1782,EC Vitória,22,4,10,8,19,32,-13,22,1.0,1.545,0.455,0.864,1.455
4245,EC Juventude,21,6,3,12,19,41,-22,21,1.0,1.545,0.4,0.905,1.952
3984,Fortaleza EC,21,3,6,12,20,34,-14,15,0.714,1.0,0.4,0.952,1.619
1778,SC Recife,20,1,7,12,14,33,-19,10,0.5,0.5,0.5,0.7,1.65
