id_time,time,proximos_jogos,media_posicao_adversarios,melhor_posicao_adversario,pior_posicao_adversario,media_dias_descanso
1780,CR Vasco da Gama,5,4.2,1,11,3.75
1777,EC Bahia,5,7.2,2,15,3.5
1779,SC Corinthians Paulista,5,9.2,1,20,4.75
1771,Cruzeiro EC,5,9.6,1,20,4.75
1770,Botafogo FR,5,9.8,6,14,3.0
4245,EC Juventude,5,10.0,1,19,5.0
1778,SC Recife,5,10.0,2,19,5.0
1783,CR Flamengo,5,10.2,2,18,5.0
6684,SC Internacional,5,10.2,3,18,4.75
6685,Santos FC,5,10.6,7,14,4.75
1766,CA Mineiro,5,10.8,5,18,4.75
1767,Grêmio FBPA,5,10.8,5,17,4.25
1776,São Paulo FC,5,10.8,3,19,4.5
1769,SE Palmeiras,5,11.0,4,19,5.0
4286,RB Bragantino,5,11.4,2,20,4.5
4364,Mirassol FC,5,11.6,5,18,4.0
1837,Ceará SC,5,11.8,4,17,4.75
3984,Fortaleza EC,5,13.0,3,20,5.0
1782,EC Vitória,5,13.4,9,19,5.0
1765,Fluminense FC,5,13.6,5,20,4.75
