id_time,time,nome_time,escudo_url,forma_ultimos5,sequencia_vitorias_atual,sequencia_derrotas_atual,maior_sequencia_vitorias,maior_sequencia_derrotas
1766,CA Mineiro,Atlético Mineiro,https://upload.wikimedia.org/wikipedia/commons/5/5f/Atletico_mineiro_galo.png,WDLLL,0,3,2,3
1777,EC Bahia,Bahia,https://upload.wikimedia.org/wikipedia/pt/9/90/ECBahia.png,DDWWL,0,1,3,1
1770,Botafogo FR,Botafogo,https://upload.wikimedia.org/wikipedia/commons/5/52/Botafogo_de_Futebol_e_Regatas_logo.svg,LWLWW,2,0,3,1
1837,Ceará SC,Ceará,https://upload.wikimedia.org/wikipedia/commons/3/38/Cear%C3%A1_Sporting_Club_logo.svg,DLWDL,0,1,1,3
1779,SC Corinthians Paulista,Corinthians,https://upload.wikimedia.org/wikipedia/pt/b/b4/Corinthians_simbolo.png,DLLWD,0,0,1,2
1771,Cruzeiro EC,Cruzeiro,https://upload.wikimedia.org/wikipedia/commons/9/90/Cruzeiro_Esporte_Clube_%28logo%29.svg,WLDWW,2,0,3,1
1783,CR Flamengo,Flamengo,https://upload.wikimedia.org/wikipedia/commons/9/93/Flamengo-RJ_%28BRA%29.png,DWWWD,0,0,3,1
1765,Fluminense FC,Fluminense,https://upload.wikimedia.org/wikipedia/commons/1/1d/FFC_crest.svg,WDWLD,0,0,3,4
3984,Fortaleza EC,Fortaleza,https://upload.wikimedia.org/wikipedia/commons/9/9e/Escudo_do_Fortaleza_EC.png,DLLLL,0,4,1,5
1767,Grêmio FBPA,Grêmio,https://upload.wikimedia.org/wikipedia/commons/0/08/Gremio_logo.svg,LLWDD,0,0,2,3
6684,SC Internacional,Internacional,https://upload.wikimedia.org/wikipedia/commons/a/ae/SC_Internacional_Brazil_Logo.svg,LWLLW,1,0,3,2
4245,EC Juventude,Juventude,https://upload.wikimedia.org/wikipedia/commons/5/51/EC_Juventude.svg,WDWLW,1,0,1,4
4364,Mirassol FC,Mirassol,https://upload.wikimedia.org/wikipedia/commons/5/5b/Mirassol_FC_logo.png,WLDWW,2,0,2,1
1769,SE Palmeiras,Palmeiras,https://upload.wikimedia.org/wikipedia/commons/1/10/Palmeiras_logo.svg,DWWWD,0,0,4,2
4286,RB Bragantino,Red Bull Bragantino,https://upload.wikimedia.org/wikipedia/pt/9/9e/RedBullBragantino.png,LLLWL,0,1,5,6
6685,Santos FC,Santos,https://upload.wikimedia.org/wikipedia/commons/3/35/Santos_logo.svg,WWLLD,0,0,2,3
1778,SC Recife,Sport,https://upload.wikimedia.org/wikipedia/pt/1/17/Sport_Club_do_Recife.png,DWDLL,0,2,1,4
1776,São Paulo FC,São Paulo,https://upload.wikimedia.org/wikipedia/commons/6/6f/Brasao_do_Sao_Paulo_Futebol_Clube.svg,WWDWL,0,1,5,4
1780,CR Vasco da Gama,Vasco,https://upload.wikimedia.org/wikipedia/pt/a/ac/CRVascodaGama.png,DWLLW,1,0,1,3
1782,EC Vitória,Vitória,https://upload.wikimedia.org/wikipedia/pt/3/34/Esporte_Clube_Vit%C3%B3ria_logo.png,DLDLW,1,0,1,2
