id_time,time,gols_marcados,gols_sofridos,pontos_casa,ppg_casa,pontos_fora,ppg_fora,rank_mandante,rank_visitante,rank_ataque,rank_defesa
1783,CR Flamengo,45,10,30,2.5,17,1.889,1,2,1,1
1771,Cruzeiro EC,35,15,28,2.333,16,1.6,2,3,2,3
1777,EC Bahia,28,22,24,2.4,12,1.2,3,5,4,6
4364,Mirassol FC,35,20,22,2.2,13,1.3,4,4,2,5
1776,São Paulo FC,26,23,21,1.909,11,1.0,5,6,6,7
1769,SE Palmeiras,28,16,20,2.0,23,2.3,6,1,4,4
1765,Fluminense FC,25,28,19,2.111,9,0.818,7,8,7,10
1770,Botafogo FR,30,13,18,1.8,17,1.7,8,2,3,2
4286,RB Bragantino,27,32,17,1.545,13,1.182,9,4,5,13
6684,SC Internacional,25,29,17,1.545,10,1.0,9,7,7,11
1837,Ceará SC,19,20,17,1.545,9,0.9,9,8,10,5
1782,EC Vitória,19,32,17,1.545,5,0.455,9,9,10,13
4245,EC Juventude,19,41,17,1.545,4,0.4,9,10,10,16
1779,SC Corinthians Paulista,23,28,16,1.455,10,0.909,10,7,8,10
1767,Grêmio FBPA,20,26,16,1.6,9,0.818,10,8,9,9
1766,CA Mineiro,20,24,15,1.875,9,0.75,11,8,9,8
1780,CR Vasco da Gama,30,31,12,1.2,10,0.909,12,7,3,12
6685,Santos FC,20,31,12,1.2,10,0.909,12,7,9,12
3984,Fortaleza EC,20,34,11,1.0,4,0.4,13,10,9,15
1778,SC Recife,14,33,5,0.5,5,0.5,14,9,11,14
