id_time,time,jogos,taxa_btts,taxa_over_1_5,taxa_over_2_5,taxa_over_3_5,taxa_btts_casa,taxa_over_2_5_casa,taxa_btts_fora,taxa_over_2_5_fora
4286,RB Bragantino,22,0.591,0.682,0.591,0.273,0.545,0.636,0.636,0.545
1780,CR Vasco da Gama,21,0.571,0.857,0.571,0.286,0.5,0.4,0.636,0.727
3984,Fortaleza EC,21,0.476,0.762,0.524,0.238,0.364,0.455,0.6,0.6
6685,Santos FC,21,0.429,0.619,0.524,0.238,0.4,0.5,0.455,0.545
4245,EC Juventude,21,0.381,0.81,0.524,0.381,0.455,0.364,0.3,0.7
1777,EC Bahia,20,0.5,0.7,0.5,0.15,0.6,0.5,0.4,0.5
1778,SC Recife,20,0.45,0.65,0.5,0.3,0.5,0.5,0.4,0.5
1771,Cruzeiro EC,22,0.409,0.727,0.5,0.136,0.583,0.75,0.2,0.2
6684,SC Internacional,21,0.619,0.81,0.476,0.238,0.545,0.455,0.7,0.5
4364,Mirassol FC,20,0.7,0.85,0.45,0.25,0.8,0.6,0.6,0.3
1765,Fluminense FC,20,0.55,0.8,0.45,0.2,0.667,0.556,0.455,0.364
1769,SE Palmeiras,20,0.5,0.65,0.45,0.1,0.3,0.3,0.7,0.6
1783,CR Flamengo,21,0.381,0.714,0.429,0.238,0.25,0.417,0.556,0.444
1779,SC Corinthians Paulista,22,0.545,0.773,0.409,0.136,0.545,0.455,0.545,0.364
1776,São Paulo FC,22,0.5,0.727,0.409,0.227,0.455,0.364,0.545,0.455
1782,EC Vitória,22,0.5,0.636,0.409,0.227,0.636,0.545,0.364,0.273
1766,CA Mineiro,20,0.45,0.6,0.4,0.25,0.5,0.5,0.417,0.333
1770,Botafogo FR,20,0.25,0.55,0.3,0.3,0.4,0.4,0.1,0.2
1767,Grêmio FBPA,21,0.571,0.714,0.286,0.143,0.5,0.2,0.636,0.364
1837,Ceará SC,21,0.381,0.524,0.286,0.095,0.273,0.091,0.5,0.5
